MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
1993-1994_Arsenal_Coventry,1993-1994,1,1993-08-14,,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Aston Villa_QPR,1993-1994,1,1993-08-14,,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Chelsea_Blackburn,1993-1994,1,1993-08-14,,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Liverpool_Sheffield Weds,1993-1994,1,1993-08-14,,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Man City_Leeds,1993-1994,1,1993-08-14,,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1993-1994_Newcastle_Tottenham,1993-1994,1,1993-08-14,,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Oldham_Ipswich,1993-1994,1,1993-08-14,,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Sheffield United_Swindon,1993-1994,1,1993-08-14,,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Southampton_Everton,1993-1994,1,1993-08-14,,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_West Ham_Wimbledon,1993-1994,1,1993-08-14,,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Norwich_Man United,1993-1994,1,1993-08-15,,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Tottenham_Arsenal,1993-1994,1,1993-08-16,,Tottenham,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Everton_Man City,1993-1994,1,1993-08-17,,Everton,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Ipswich_Southampton,1993-1994,1,1993-08-17,,Ipswich,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Leeds_West Ham,1993-1994,1,1993-08-17,,Leeds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Wimbledon_Chelsea,1993-1994,1,1993-08-17,,Wimbledon,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1993-1994_Blackburn_Norwich,1993-1994,1,1993-08-18,,Blackburn,Norwich,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Coventry_Newcastle,1993-1994,1,1993-08-18,,Coventry,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Man United_Sheffield United,1993-1994,1,1993-08-18,,Man United,Sheffield United,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_QPR_Liverpool,1993-1994,1,1993-08-18,,QPR,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Sheffield Weds_Aston Villa,1993-1994,1,1993-08-18,,Sheffield Weds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1993-1994_Swindon_Oldham,1993-1994,1,1993-08-18,,Swindon,Oldham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
1993-1994_Blackburn_Oldham,1993-1994,2,1993-08-21,,Blackburn,Oldham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Coventry_West Ham,1993-1994,2,1993-08-21,,Coventry,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1993-1994_Everton_Sheffield United,1993-1994,2,1993-08-21,,Everton,Sheffield United,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
1993-1994_Ipswich_Chelsea,1993-1994,2,1993-08-21,,Ipswich,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
