Season,HomeTeam,AwayTeam,FullTimeResult,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,Favourites,ROIonFavourites,ROIonUnderdogs,ROIonDraws,FavouriteXOdds,ROIonFavouriteX
2002-2003,Blackburn,Sunderland,D,0.0,0.0,1.727,3.25,4.333,,,Home,-100.0,-100.0,225.0,1.1277375929274662,12.773759292746618
2002-2003,Charlton,Chelsea,A,1.0,0.0,2.8,3.25,2.2,,,Away,120.00000000000004,-100.0,-100.0,1.311926605504587,31.192660550458697
2002-2003,Everton,Tottenham,D,0.0,0.0,2.25,3.25,2.75,,,Home,-100.0,-100.0,225.0,1.3295454545454546,32.95454545454547
2002-2003,Fulham,Bolton,H,0.0,0.0,1.727,3.25,4.333,,,Home,72.70000000000002,-100.0,-100.0,1.1277375929274662,12.773759292746618
2002-2003,Leeds,Man City,H,0.0,0.0,1.667,3.4,4.5,,,Home,66.70000000000002,-100.0,-100.0,1.1185711466350898,11.85711466350898
2002-2003,Man United,West Brom,H,0.0,1.0,1.2,5.0,12.0,,,Home,20.0,-100.0,-100.0,0.9677419354838708,-3.2258064516129252
2002-2003,Southampton,Middlesbrough,D,0.0,0.0,2.25,3.25,2.75,,,Home,-100.0,-100.0,225.0,1.3295454545454546,32.95454545454547
2002-2003,Arsenal,Birmingham,H,0.0,1.0,1.222,5.0,10.0,,,Home,22.200000000000003,-100.0,-100.0,0.981999357119897,-1.8000642880102902
2002-2003,Aston Villa,Liverpool,A,0.0,0.0,3.0,3.25,2.1,,,Away,110.0,-100.0,-100.0,1.2757009345794392,27.570093457943926
2002-2003,Newcastle,West Ham,H,0.0,0.0,1.571,3.4,5.5,,,Home,57.1,-100.0,-100.0,1.0745121705894185,7.45121705894185
2002-2003,Chelsea,Man United,D,0.0,0.0,2.75,3.25,2.25,,,Away,-100.0,-100.0,225.0,1.3295454545454546,32.95454545454547
2002-2003,Birmingham,Blackburn,A,0.0,0.0,2.625,3.2,2.375,,,Away,137.5,-100.0,-100.0,1.3632286995515694,36.32286995515693
2002-2003,Bolton,Charlton,A,0.0,0.0,2.1,3.25,3.0,,,Home,-100.0,200.0,-100.0,1.2757009345794392,-100.0
2002-2003,Liverpool,Southampton,H,0.0,0.0,1.333,4.333,7.5,,,Home,33.29999999999998,-100.0,-100.0,1.0193944581715495,1.9394458171549473
2002-2003,Man City,Newcastle,H,0.0,0.0,2.5,3.2,2.5,,,Away,-100.0,150.0,-100.0,1.4035087719298245,-100.0
2002-2003,Middlesbrough,Fulham,D,0.0,0.0,2.0,3.25,3.25,,,Home,-100.0,-100.0,225.0,1.238095238095238,23.809523809523796
2002-2003,Sunderland,Everton,A,0.0,0.0,2.1,3.0,3.25,,,Home,-100.0,225.0,-100.0,1.2352941176470589,-100.0
2002-2003,Tottenham,Aston Villa,H,0.0,0.0,1.833,3.25,3.75,,,Home,83.29999999999998,-100.0,-100.0,1.171994884910486,17.199488491048598
2002-2003,West Brom,Leeds,A,0.0,0.0,3.75,3.25,1.833,,,Away,83.29999999999998,-100.0,-100.0,1.171994884910486,17.199488491048598
2002-2003,West Ham,Arsenal,D,0.0,0.0,4.0,3.5,1.727,,,Away,-100.0,-100.0,250.0,1.1563994643198776,15.639946431987767
2002-2003,Arsenal,West Brom,H,0.0,0.0,1.17,5.5,13.0,,,Home,17.0,-100.0,-100.0,0.964767616191904,-3.5232383808096017
2002-2003,Charlton,Tottenham,A,0.0,0.0,2.4,3.2,2.6,,,Home,-100.0,160.0,-100.0,1.3714285714285712,-100.0
2002-2003,Aston Villa,Man City,H,0.0,0.0,2.2,3.25,2.8,,,Home,120.00000000000004,-100.0,-100.0,1.311926605504587,31.192660550458697
2002-2003,Blackburn,Liverpool,D,0.0,0.0,3.0,3.25,2.1,,,Away,-100.0,-100.0,225.0,1.2757009345794392,27.570093457943926
2002-2003,Everton,Birmingham,D,1.0,0.0,1.67,3.4,4.5,,,Home,-100.0,-100.0,240.0,1.119921104536489,11.992110453648891
2002-2003,Leeds,Sunderland,A,0.0,0.0,1.5,3.4,6.5,,,Home,-100.0,550.0,-100.0,1.0408163265306123,-100.0
2002-2003,Southampton,Chelsea,D,0.0,0.0,3.0,3.25,2.1,,,Away,-100.0,-100.0,225.0,1.2757009345794392,27.570093457943926
2002-2003,Birmingham,Leeds,H,0.0,0.0,4.0,3.25,1.8,,,Away,-100.0,300.0,-100.0,1.1584158415841583,-100.0
2002-2003,Man City,Everton,H,1.0,0.0,1.727,3.25,4.333,,,Home,72.70000000000002,-100.0,-100.0,1.1277375929274662,12.773759292746618
